,organization,city,county,state,lat_long,latitude,longitude
0,Alaska Star,Eagle River,Anchorage,AK,"[45.9171763, -89.2442988]",45.9171763,-89.2442988
1,Valdez Star,Valdez,Valdez-Cordova,AK,"[61.13083330000001, -146.3483334]",61.13083330000001,-146.3483334
2,Daily Sitka Sentinel,Sitka,Sitka,AK,"[57.0530556, -135.33]",57.0530556,-135.33
3,Anchorage Press,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
4,Wrangell Sentinel,Wrangell,Wrangell,AK,"[56.4708333, -132.3766666]",56.4708333,-132.3766666
5,The Seward Phoenix Log,Seward,Kenai Peninsula,AK,"[60.10416669999999, -149.4422222]",60.10416669999999,-149.4422222
6,Delta Wind,Delta Junction,Southeast Fairbanks,AK,"[64.0377778, -145.7322221]",64.0377778,-145.7322221
7,The Cordova Times,Cordova,Valdez-Cordova,AK,"[35.1598391, -89.761545]",35.1598391,-89.761545
8,The Bristol Bay Times/Dutch Harbor Fisherman,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
9,The Arctic Sounder,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
10,Petersburg Pilot,Petersburg,Petersburg,AK,"[37.2279279, -77.40192669999999]",37.2279279,-77.40192669999999
11,Homer News,Homer,Kenai,AK,"[47.5765754, -122.3101679]",47.5765754,-122.3101679
12,Frontiersman,Wasilla,Matanuska-Susitna,AK,"[61.5813889, -149.4394444]",61.5813889,-149.4394444
13,Chilkat Valley News,Haines,Haines,AK,"[59.2358333, -135.445]",59.2358333,-135.445
14,Capital City Weekly,Juneau,Juneau,AK,"[58.3019444, -134.4197221]",58.3019444,-134.4197221
15,The Nome Nugget,Nome,Nome,AK,"[64.5011111, -165.4063889]",64.5011111,-165.4063889
16,Ketchikan Daily News,Ketchikan,Ketchikan Gateway,AK,"[55.34222219999999, -131.6461112]",55.34222219999999,-131.6461112
17,Homer Tribune,Homer,Kenai,AK,"[47.5765754, -122.3101679]",47.5765754,-122.3101679
18,The Chugiak-Eagle River Star,Eagle River,Anchorage,AK,"[45.9171763, -89.2442988]",45.9171763,-89.2442988
19,Peninsula Clarion,Kenai,Kenai Peninsula,AK,"[60.55444439999999, -151.2583333]",60.55444439999999,-151.2583333
20,Kodiak Daily Mirror,Kodiak,Kodiak Island,AK,"[57.79000000000001, -152.4072221]",57.79000000000001,-152.4072221
21,Juneau Empire,Juneau,Juneau,AK,"[58.3019444, -134.4197221]",58.3019444,-134.4197221
22,Fairbanks Daily News-Miner,Fairbanks,Fairbanks North Star,AK,"[64.8377778, -147.7163888]",64.8377778,-147.7163888
23,Alaska Dispatch News,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
24,Birmingham Times,Birmingham,Jefferson,AL,"[33.5185892, -86.8103567]",33.5185892,-86.8103567
25,Pelham Reporter,Columbiana,Shelby,AL,"[0.0, 0.0]",0.0,0.0
26,Alabaster Reporter,Columbiana,Shelby,AL,"[0.0, 0.0]",0.0,0.0
27,North Jackson Progress,Stevenson,Jackson,AL,"[42.19935479999999, -87.94613389999999]",42.19935479999999,-87.94613389999999
28,Coosa County News,Rockford,Coosa,AL,"[42.2711311, -89.0939952]",42.2711311,-89.0939952
29,Saint Clair Times The,Pell City,St. Clair,AL,"[33.5862149, -86.2860888]",33.5862149,-86.2860888
30,Moundville Times,Moundville,Hale,AL,"[33.0027163, -87.62805279999999]",33.0027163,-87.62805279999999
31,Mobile Beacon & Alabama Citizen,Mobile,Mobile,AL,"[30.6953657, -88.0398912]",30.6953657,-88.0398912
32,Speakin' Out Weekly,Huntsville,Madison,AL,"[34.7303688, -86.5861037]",34.7303688,-86.5861037
33,Gadsden Messenger,Gadsden,Etowah,AL,"[34.014264, -86.0066386]",34.014264,-86.0066386
34,Auburn Villager,Auburn,Lee,AL,"[32.6098566, -85.48078249999999]",32.6098566,-85.48078249999999
35,Northport Gazette The,Northport,Tuscaloosa,AL,"[40.9009313, -73.3431727]",40.9009313,-73.3431727
36,Islander The,Foley,Baldwin,AL,"[30.4065868, -87.6835974]",30.4065868,-87.6835974
37,Western Star The,Bessemer,Jefferson,AL,"[33.4017766, -86.954437]",33.4017766,-86.954437
38,Call News,Citronelle,Mobile,AL,"[43.04784069999999, -76.15412359999999]",43.04784069999999,-76.15412359999999
39,Hartford News-Herald,Geneva,Geneva,AL,"[46.2043907, 6.1431577]",46.2043907,6.1431577
40,Wilcox Progressive Era,Camden,Wilcox,AL,"[39.9259463, -75.1196199]",39.9259463,-75.1196199
41,West Alabama Gazette,Millport,Lamar,AL,"[55.7535865, -4.9286167]",55.7535865,-4.9286167
42,Washington County News,Citronelle,Washington,AL,"[43.04784069999999, -76.15412359999999]",43.04784069999999,-76.15412359999999
43,Union Springs Herald,Union Springs,Bullock,AL,"[42.8397906, -76.6932818]",42.8397906,-76.6932818
44,Tuskegee News The,Tuskegee,Macon,AL,"[32.430237, -85.7077266]",32.430237,-85.7077266
45,Wetumpka Herald The,Alexander City,Elmore,AL,"[32.944012, -85.9538532]",32.944012,-85.9538532
46,Tri-City Ledger The,Flomaton,Escambia,AL,"[31.000182, -87.260807]",31.000182,-87.260807
47,Times-Record The,Fayette,Fayette,AL,"[33.6845539, -87.8308522]",33.6845539,-87.8308522
48,Thomasville Times The,Thomasville,Clarke,AL,"[47.6171169, -122.201316]",47.6171169,-122.201316
49,Tallassee Tribune The,Tallassee,Tallapoosa,AL,"[32.5359683, -85.8932923]",32.5359683,-85.8932923
50,South Alabamian The,Jackson,Clarke,AL,"[37.0328728, -95.6316455]",37.0328728,-95.6316455
51,Red Bay News The,Red Bay,Franklin,AL,"[34.4398202, -88.1408747]",34.4398202,-88.1408747
52,Randolph Leader The,Roanoke,Randolph,AL,"[37.2709704, -79.9414266]",37.2709704,-79.9414266
53,Citizen of East Alabama The,Phenix City,Lee & Russell,AL,"[32.4709761, -85.0007653]",32.4709761,-85.0007653
54,Opp News The,Opp,Covington,AL,"[45.3220722, -75.88853619999999]",45.3220722,-75.88853619999999
55,Onlooker The,Foley,Baldwin,AL,"[30.4065868, -87.6835974]",30.4065868,-87.6835974
56,Moulton Advertiser The,Moulton,Lawrence,AL,"[34.4812062, -87.29335329999999]",34.4812062,-87.29335329999999
57,Luverne Journal The,Luverne,Crenshaw,AL,"[43.6040639, -96.5740886]",43.6040639,-96.5740886
58,Hartselle Enquirer,Hartselle,Morgan,AL,"[34.4434282, -86.9352842]",34.4434282,-86.9352842
59,Elba Clipper The,Elba,Coffee,AL,"[42.7781867, 10.1927389]",42.7781867,10.1927389
60,Democrat-Reporter,Linden,Marengo,AL,"[40.6220478, -74.24459019999999]",40.6220478,-74.24459019999999
61,Cullman Tribune The,Cullman,Cullman,AL,"[34.1748208, -86.8436124]",34.1748208,-86.8436124
62,Cleburne News The,Heflin,Cleburne,AL,"[33.6444926, -85.5842385]",33.6444926,-85.5842385
63,Centreville Press The,Centreville,Bibb,AL,"[38.8403909, -77.42887689999999]",38.8403909,-77.42887689999999
64,Brewton Standard The,Brewton,Escambia,AL,"[31.1051779, -87.0721918]",31.1051779,-87.0721918
65,Blount Countian The,Oneonta,Blount,AL,"[42.4528571, -75.0637746]",42.4528571,-75.0637746
66,Baldwin Times The,Foley,Baldwin,AL,"[30.4065868, -87.6835974]",30.4065868,-87.6835974
67,Arab Tribune The,Arab,Marshall,AL,"[34.31814970000001, -86.4958219]",34.31814970000001,-86.4958219
68,Sumter County Record-Journal,Livingston,Sumter,AL,"[40.7862871, -74.3300842]",40.7862871,-74.3300842
69,St. Clair News-Aegis,Pell City,St. Clair,AL,"[33.5862149, -86.2860888]",33.5862149,-86.2860888
70,Southeast Sun,Enterprise,Coffee,AL,"[37.223958, -95.73042769999999]",37.223958,-95.73042769999999
71,Shelby County Reporter,Columbiana,Shelby,AL,"[0.0, 0.0]",0.0,0.0
72,Standard & Times,Tuscumbia,Colbert,AL,"[34.7312005, -87.70253]",34.7312005,-87.70253
73,Sand Mountain Reporter,Albertville,Marshall,AL,"[45.2312337, -93.6687657]",45.2312337,-93.6687657
74,Samson Ledger,Geneva,Geneva,AL,"[46.2043907, 6.1431577]",46.2043907,6.1431577
75,Piedmont Journal,Anniston,Calhoun,AL,"[33.6598257, -85.8316318]",33.6598257,-85.8316318
76,Pickens County Herald,Carrollton,Pickens,AL,"[32.9756415, -96.8899636]",32.9756415,-96.8899636
77,Northwest Alabamian,Haleyville,Winston,AL,"[34.226488, -87.6214133]",34.226488,-87.6214133
78,North Jefferson News,Gardendale,Jefferson,AL,"[33.6601033, -86.8127702]",33.6601033,-86.8127702
79,Montgomery Independent,Montgomery,Montgomery,AL,"[32.3792233, -86.3077368]",32.3792233,-86.3077368
80,Monroe Journal The,Monroeville,Monroe,AL,"[40.4211798, -79.7881024]",40.4211798,-79.7881024
81,Marion Times-Standard,Marion,Perry,AL,"[37.7306054, -88.9331256]",37.7306054,-88.9331256
82,Madison Record The,Madison,Madison,AL,"[43.0730517, -89.4012302]",43.0730517,-89.4012302
83,Lowndes Signal,Fort Deposit,Lowndes,AL,"[31.9845929, -86.5785856]",31.9845929,-86.5785856
84,Lamar Leader,Sulligent,Lamar,AL,"[33.9017738, -88.1344776]",33.9017738,-88.1344776
85,Lamar Democrat,Vernon,Lamar,AL,"[34.003903, -118.230073]",34.003903,-118.230073
86,LaFayette Sun,LaFayette,Chambers,AL,"[30.2240897, -92.0198427]",30.2240897,-92.0198427
87,Journal Record,Haleyville,Marion,AL,"[34.226488, -87.6214133]",34.226488,-87.6214133
88,Jacksonville News The,Anniston,Calhoun,AL,"[33.6598257, -85.8316318]",33.6598257,-85.8316318
89,Geneva County Reaper,Geneva,Geneva,AL,"[46.2043907, 6.1431577]",46.2043907,6.1431577
90,Greenville Advocate The,Greenville,Butler,AL,"[34.85261759999999, -82.3940104]",34.85261759999999,-82.3940104
91,Greensboro Watchman,Greensboro,Hale,AL,"[36.0726354, -79.7919754]",36.0726354,-79.7919754
92,Greene County Democrat,Eutaw,Greene,AL,"[32.8406848, -87.8875145]",32.8406848,-87.8875145
93,Franklin County Times,Russellville,Franklin,AL,"[35.2784173, -93.1337856]",35.2784173,-93.1337856
94,Florala News The,Florala,Covington,AL,"[31.00518, -86.3280018]",31.00518,-86.3280018
95,Fairhope Courier The,Fairhope,Baldwin,AL,"[30.5229719, -87.9033261]",30.5229719,-87.9033261
96,Eufaula Tribune,Eufaula,Barbour,AL,"[31.8912717, -85.1454876]",31.8912717,-85.1454876
97,Eclectic Observer,Wetumpka,Elmore,AL,"[32.5437448, -86.2119127]",32.5437448,-86.2119127
98,East Lauderdale News,Rogersville,Lauderdale,AL,"[36.407317, -83.0054423]",36.407317,-83.0054423
99,Demopolis Times,Demopolis,Marengo,AL,"[32.5176361, -87.83640199999999]",32.5176361,-87.83640199999999
100,Daleville Sun-Courier,Daleville,Dale,AL,"[40.1211545, -85.5580301]",40.1211545,-85.5580301
101,Dadeville Record,Alexander City,Tallapoosa,AL,"[32.944012, -85.9538532]",32.944012,-85.9538532
102,Colbert County Reporter,Tuscumbia,Colbert,AL,"[34.7312005, -87.70253]",34.7312005,-87.70253
103,Clay Times-Journal,Lineville,Clay,AL,"[44.5918113, -88.0875011]",44.5918113,-88.0875011
104,Clarke County Democrat,Grove Hill,Clarke,AL,"[32.792636, -96.7250042]",32.792636,-96.7250042
105,Choctaw Sun-Advocate,Gilbertown,Choctaw,AL,"[31.8770975, -88.3214089]",31.8770975,-88.3214089
106,Chilton County News,Clanton,Chilton,AL,"[32.8387371, -86.6294262]",32.8387371,-86.6294262
107,Cherokee County Herald,Centre,Cherokee,AL,"[37.09024, -95.712891]",37.09024,-95.712891
108,Atmore Advance,Atmore,Escambia,AL,"[31.0237921, -87.4938708]",31.0237921,-87.4938708
109,Advertiser-Gleam,Guntersville,Marshall,AL,"[34.3581473, -86.29470409999999]",34.3581473,-86.29470409999999
110,Abbeville Herald,Abbeville,Henry,AL,"[34.1781719, -82.3790147]",34.1781719,-82.3790147
111,Clanton Advertiser The,Clanton,Chilton,AL,"[32.8387371, -86.6294262]",32.8387371,-86.6294262
112,Valley Times-News The,Lanett,Chambers,AL,"[32.86873910000001, -85.1904971]",32.86873910000001,-85.1904971
113,Tuscaloosa News The,Tuscaloosa,Tuscaloosa,AL,"[33.2098407, -87.56917349999999]",33.2098407,-87.56917349999999
114,Anniston Star,Anniston,Calhoun,AL,"[33.6598257, -85.8316318]",33.6598257,-85.8316318
115,Selma Times-Journal The,Selma,Dallas,AL,"[0.0, 0.0]",0.0,0.0
116,Opelika-Auburn News,Opelika,Lee,AL,"[32.6454116, -85.3782795]",32.6454116,-85.3782795
117,News-Courier The,Athens,Limestone,AL,"[37.9838096, 23.7275388]",37.9838096,23.7275388
118,Montgomery Advertiser,Montgomery,Montgomery,AL,"[32.3792233, -86.3077368]",32.3792233,-86.3077368
119,Press-Register,Mobile,Mobile,AL,"[30.6953657, -88.0398912]",30.6953657,-88.0398912
120,Troy Messenger The,Troy,Pike,AL,"[42.6064095, -83.1497751]",42.6064095,-83.1497751
121,Daily Mountain Eagle,Jasper,Walker,AL,"[38.3914418, -86.9311094]",38.3914418,-86.9311094
122,Huntsville Times,Huntsville,Madison,AL,"[34.7303688, -86.5861037]",34.7303688,-86.5861037
123,Gadsden Times The,Gadsden,Etowah,AL,"[34.014264, -86.0066386]",34.014264,-86.0066386
124,Times-Journal The,Fort Payne,DeKalb,AL,"[34.4442547, -85.7196893]",34.4442547,-85.7196893
125,Times Daily,Florence,Lauderdale,AL,"[43.7695604, 11.2558136]",43.7695604,11.2558136
126,Enterprise Ledger The,Enterprise,Coffee,AL,"[37.223958, -95.73042769999999]",37.223958,-95.73042769999999
127,Dothan Eagle,Dothan,Houston,AL,"[31.2232313, -85.3904888]",31.2232313,-85.3904888
128,Decatur Daily The,Decatur,Morgan,AL,"[33.7748275, -84.2963123]",33.7748275,-84.2963123
129,Daily Sentinel The,Scottsboro,Jackson,AL,"[34.6723069, -86.03414629999999]",34.6723069,-86.03414629999999
130,Daily Home The,Talladega,Talladega,AL,"[33.4359416, -86.1058048]",33.4359416,-86.1058048
131,Andalusia Star-News,Andalusia,Covington,AL,"[37.5442706, -4.7277528]",37.5442706,-4.7277528
132,Birmingham News The,Birmingham,Jefferson,AL,"[33.5185892, -86.8103567]",33.5185892,-86.8103567
133,Alexander City Outlook,Alexander City,Tallapoosa,AL,"[32.944012, -85.9538532]",32.944012,-85.9538532
134,Northwest Arkansas Democrat-Gazette,Fayetteville,Washington,AR,"[35.0526641, -78.87835849999999]",35.0526641,-78.87835849999999
135,Lake Area Weekly,Fairfield Bay,Van Buren,AR,"[35.5942441, -92.27793240000001]",35.5942441,-92.27793240000001
136,Texarkana Gazette,Texarkana,Miller,AR,"[33.425125, -94.04768820000001]",33.425125,-94.04768820000001
137,The Melbourne Times,Melbourne,Izard,AR,"[-37.8136276, 144.9630576]",-37.8136276,144.9630576
138,South Arkansas Sun,Hampton,Calhoun,AR,"[37.0891604, -95.7131979]",37.0891604,-95.7131979
139,The Standard,Amity,Clark,AR,"[45.1156724, -123.2073257]",45.1156724,-123.2073257
140,The Waldron News,Waldron,Scott,AR,"[34.8984323, -94.0907634]",34.8984323,-94.0907634
141,Madison County Record,Huntsville,Madison,AR,"[34.7303688, -86.5861037]",34.7303688,-86.5861037
142,La Prensa,Springdale,Washington,AR,"[36.18674420000001, -94.1288141]",36.18674420000001,-94.1288141
143,Times of Northeast Benton County The,Pea Ridge,Benton,AR,"[36.4539625, -94.1152041]",36.4539625,-94.1152041
144,Maumelle Monitor,North Little Rock,Pulaski,AR,"[34.769536, -92.2670941]",34.769536,-92.2670941
145,Washington County Enterprise-Leader,Farmington,Washington,AR,"[36.72805830000001, -108.2186856]",36.72805830000001,-108.2186856
146,Free Weekly,Fayetteville,Washington,AR,"[35.0526641, -78.87835849999999]",35.0526641,-78.87835849999999
147,Wynne Progress,Wynne,Cross,AR,"[35.224533, -90.78677979999999]",35.224533,-90.78677979999999
148,Alma Journal,Van Buren,Crawford,AR,"[35.436756, -94.34826799999999]",35.436756,-94.34826799999999
149,The News,Salem,Fulton,AR,"[42.51954, -70.8967155]",42.51954,-70.8967155
150,Arkansas Times,Little Rock,Pulaski,AR,"[34.7464809, -92.28959479999999]",34.7464809,-92.28959479999999
151,Fairfield Bay News,Fairfield Bay,Van Buren,AR,"[35.5942441, -92.27793240000001]",35.5942441,-92.27793240000001
152,Lovely County Citizen,Eureka Springs,Carroll,AR,"[36.4011825, -93.7379711]",36.4011825,-93.7379711
153,Dover Times The,Atkins,Pope,AR,"[36.1166444, -95.8582311]",36.1166444,-95.8582311
154,Leader,Cabot,Lonoke,AR,"[44.4014456, -72.3123248]",44.4014456,-72.3123248
155,Arkansas Weekly,Batesville,Independence,AR,"[39.3000511, -85.222184]",39.3000511,-85.222184
156,Newport Independent,Newport,Jackson,AR,"[41.4901024, -71.3128285]",41.4901024,-71.3128285
157,Yell County Record,Danville,Yell,AR,"[37.8215929, -121.9999606]",37.8215929,-121.9999606
158,Jacksonville Patriot,North Little Rock,Pulaski,AR,"[34.769536, -92.2670941]",34.769536,-92.2670941
159,Carroll County News,Berryville,Carroll,AR,"[39.1517713, -77.9822193]",39.1517713,-77.9822193
160,Beebe News,Beebe,White,AR,"[35.0706423, -91.8795856]",35.0706423,-91.8795856
161,Woodruff County Monitor-Leader-Advocate,McCrory,Woodruff,AR,"[35.2561978, -91.2001246]",35.2561978,-91.2001246
162,White River Journal,Des Arc,Prairie,AR,"[34.9770353, -91.49513069999999]",34.9770353,-91.49513069999999
163,White River Current,Calico Rock,Izard,AR,"[36.1195143, -92.1359867]",36.1195143,-92.1359867
164,White Hall Journal,White Hall,Jefferson,AR,"[51.5049822, -0.1265712]",51.5049822,-0.1265712
165,Eagle Democrat The,Warren,Bradley,AR,"[37.09024, -95.712891]",37.09024,-95.712891
166,Villager Journal,Cherokee Village,Fulton,AR,"[36.2978443, -91.515973]",36.2978443,-91.515973
167,Van Buren County Democrat,Clinton,Van Buren,AR,"[38.3686324, -93.7782689]",38.3686324,-93.7782689
168,Poinsett County Democrat Tribune,Trumann,Poinsett,AR,"[35.6736895, -90.5073285]",35.6736895,-90.5073285
169,Weekly Vista,Bella Vista,Benton,AR,"[36.481464, -94.2732642]",36.481464,-94.2732642
170,Town Crier,Manila,Mississippi,AR,"[14.5995124, 120.9842195]",14.5995124,120.9842195
171,Times Dispatch The,Walnut Ridge,Lawrence,AR,"[36.0684035, -90.9559534]",36.0684035,-90.9559534
172,Spectator,Ozark,Franklin,AR,"[37.0208865, -93.2060163]",37.0208865,-93.2060163
173,Osceola Times,Osceola,Mississippi,AR,"[28.1019838, -81.0754657]",28.1019838,-81.0754657
174,Newton County Times,Jasper,Newton,AR,"[38.3914418, -86.9311094]",38.3914418,-86.9311094
175,News,Fulton,Hempstead,AR,"[38.84670819999999, -91.94795859999999]",38.84670819999999,-91.94795859999999
176,Nashville News-Leader,Nashville,Howard,AR,"[36.1626638, -86.7816016]",36.1626638,-86.7816016
177,Mountaineer Echo,Flippin,Marion,AR,"[36.2789578, -92.5971081]",36.2789578,-92.5971081
178,Modern News,Harrisburg,Poinsett,AR,"[40.2731911, -76.8867008]",40.2731911,-76.8867008
179,Gurdon Times The,Arkadelphia,Clark,AR,"[34.1209292, -93.0537839]",34.1209292,-93.0537839
180,Courier Index,Marianna,Lee,AR,"[30.7743596, -85.2268735]",30.7743596,-85.2268735
181,Citizen,Waldron,Scott,AR,"[34.8984323, -94.0907634]",34.8984323,-94.0907634
182,Sun-Times The,Heber Springs,Cleburne,AR,"[35.4914677, -92.03125999999999]",35.4914677,-92.03125999999999
183,Stone County Leader,Mountain View,Stone,AR,"[37.3860517, -122.0838511]",37.3860517,-122.0838511
184,Sherwood Voice,North Little Rock,Pulaski,AR,"[34.769536, -92.2670941]",34.769536,-92.2670941
185,Sheridan Headlight,Sheridan,Grant,AR,"[36.168319, -95.904916]",36.168319,-95.904916
186,Press Argus-Courier,Van Buren,Crawford,AR,"[35.436756, -94.34826799999999]",35.436756,-94.34826799999999
187,Pocahontas Star Herald,Pocahontas,Randolph,AR,"[36.2614554, -90.97123300000001]",36.2614554,-90.97123300000001
188,Perry County Petit Jean Country Headlight,Morrilton,Perry,AR,"[35.1509173, -92.74405379999999]",35.1509173,-92.74405379999999
189,Paris Express,Paris,Logan,AR,"[48.856614, 2.3522219]",48.856614,2.3522219
190,Nevada County Picayune,Hope,Nevada,AR,"[36.6564059, -95.1609793]",36.6564059,-95.1609793
191,Murfreesboro Diamond,Murfreesboro,Pike,AR,"[35.8456213, -86.39027]",35.8456213,-86.39027
192,Montgomery County News,Mount Ida,Montgomery,AR,"[42.294262, -71.193448]",42.294262,-71.193448
193,Mena Star,Mena,Polk,AR,"[34.5862171, -94.23965539999999]",34.5862171,-94.23965539999999
194,McGehee Dermott Times/News,McGehee,Desha,AR,"[33.6255234, -91.3945566]",33.6255234,-91.3945566
195,Marshall Mountain Wave,Marshall,Searcy,AR,"[36.0674332, -95.774913]",36.0674332,-95.774913
196,Little River News,Ashdown,Little River,AR,"[33.66024, -94.11725]",33.66024,-94.11725
197,Lincoln Ledger,Star City,Lincoln,AR,"[33.9428794, -91.8434668]",33.9428794,-91.8434668
198,Johnson County Graphic,Clarksville,Johnson,AR,"[36.5297706, -87.3594528]",36.5297706,-87.3594528
199,Hot Springs Village Voice,Hot Springs Village,Saline,AR,"[34.6720356, -92.9987886]",34.6720356,-92.9987886
200,Greenwood Democrat,Greenwood,Sebastian,AR,"[39.6136578, -86.10665259999999]",39.6136578,-86.10665259999999
201,Grand Prairie Herald,Hazen,Prairie,AR,"[47.294448, -101.622665]",47.294448,-101.622665
202,Glenwood Herald,Glenwood,Pike,AR,"[41.0469437, -95.7425056]",41.0469437,-95.7425056
203,Fordyce News-Advocate,Fordyce,Dallas,AR,"[33.8137161, -92.4129303]",33.8137161,-92.4129303
204,Eudora Enterprise,Lake Village,Chicot,AR,"[33.3314091, -91.28422119999999]",33.3314091,-91.28422119999999
205,England Democrat,England,Lonoke,AR,"[52.3555177, -1.1743197]",52.3555177,-1.1743197
206,Pacesetting Times,Horseshoe Bend,Izard,AR,"[36.8802715, -111.5196177]",36.8802715,-111.5196177
207,Dumas Clarion,Dumas,Desha,AR,"[35.8653789, -101.9732236]",35.8653789,-101.9732236
208,Westside Eagle Observer,Siloam Springs,Benton,AR,"[36.1881365, -94.54049619999999]",36.1881365,-94.54049619999999
209,De Witt Era-Enterprise,De Witt,Arkansas,AR,"[41.8239952, -90.53896619999999]",41.8239952,-90.53896619999999
210,DeQueen Bee,De Queen,Sevier,AR,"[34.0378916, -94.3413168]",34.0378916,-94.3413168
211,Dardanelle Post-Dispatch,Dardanelle,Yell,AR,"[35.2231408, -93.1579532]",35.2231408,-93.1579532
212,Conway County Petit Jean Country Headlight,Morrilton,Conway,AR,"[35.1509173, -92.74405379999999]",35.1509173,-92.74405379999999
213,Cleveland County Herald,Rison,Cleveland,AR,"[33.9584347, -92.19014539999999]",33.9584347,-92.19014539999999
214,Clay County Times-Democrat,Piggott,Clay,AR,"[36.382839, -90.1906542]",36.382839,-90.1906542
215,Clay County Courier,Corning,Clay,AR,"[42.4448757, -75.0914106]",42.4448757,-75.0914106
216,Chicot Spectator,Lake Village,Chicot,AR,"[33.3314091, -91.28422119999999]",33.3314091,-91.28422119999999
217,Charleston Express,Greenwood,Franklin,AR,"[39.6136578, -86.10665259999999]",39.6136578,-86.10665259999999
218,Carlisle Independent,Carlisle,Lonoke,AR,"[40.2010241, -77.20027449999999]",40.2010241,-77.20027449999999
219,Cabot Star-Herald,Cabot,Lonoke,AR,"[44.4014456, -72.3123248]",44.4014456,-72.3123248
220,Monroe County Herald,Brinkley,Monroe,AR,"[34.8878719, -91.19456880000001]",34.8878719,-91.19456880000001
221,Booneville Democrat,Booneville,Logan,AR,"[35.140093, -93.92159090000001]",35.140093,-93.92159090000001
222,Atkins Chronicle,Atkins,Pope,AR,"[36.1166444, -95.8582311]",36.1166444,-95.8582311
223,Ashley News Observer,Crossett,Ashley,AR,"[33.1281779, -91.9612427]",33.1281779,-91.9612427
224,Ashley County Ledger,Hamburg,Ashley,AR,"[53.5510846, 9.9936819]",53.5510846,9.9936819
225,Advance-Monticellonian,Monticello,Drew,AR,"[38.0086043, -78.4531994]",38.0086043,-78.4531994
226,Lafayette County Press,Stamps,Lafayette,AR,"[36.0773514, -95.9576512]",36.0773514,-95.9576512
227,Herald-Leader The,Siloam Springs,Benton,AR,"[36.1881365, -94.54049619999999]",36.1881365,-94.54049619999999
228,West Memphis Evening Times,Marion,Crittenden,AR,"[37.7306054, -88.9331256]",37.7306054,-88.9331256
229,Times-Herald,Forrest City,St. Francis,AR,"[35.0081474, -90.7898342]",35.0081474,-90.7898342
230,Stuttgart Daily Leader The,Stuttgart,Arkansas,AR,"[48.7758459, 9.1829321]",48.7758459,9.1829321
231,Pine Bluff Commercial,Pine Bluff,Jefferson,AR,"[34.2284312, -92.00319549999999]",34.2284312,-92.00319549999999
232,Paragould Daily Press,Paragould,Greene,AR,"[36.0584021, -90.4973286]",36.0584021,-90.4973286
233,Malvern Daily Record,Malvern,Hot Spring,AR,"[40.0362184, -75.5138118]",40.0362184,-75.5138118
234,Log Cabin Democrat,Conway,Faulkner,AR,"[35.0886963, -92.4421011]",35.0886963,-92.4421011
235,Arkansas Democrat-Gazette,Little Rock,Pulaski,AR,"[34.7464809, -92.28959479999999]",34.7464809,-92.28959479999999
236,Jonesboro Sun,Jonesboro,Craighead,AR,"[35.84229670000001, -90.704279]",35.84229670000001,-90.704279
237,Sentinel-Record The,Hot Springs,Garland,AR,"[34.5037004, -93.0551795]",34.5037004,-93.0551795
238,Harrison Daily Times,Harrison,Boone,AR,"[36.2297936, -93.1076765]",36.2297936,-93.1076765
239,Southwest Times Record,Fort Smith,Sebastian,AR,"[35.3859242, -94.39854749999999]",35.3859242,-94.39854749999999
240,El Dorado News-Times,El Dorado,Union,AR,"[37.8167564, -96.8869965]",37.8167564,-96.8869965
241,Helena Arkansas Daily World The,Helena,Phillips,AR,"[46.5891452, -112.0391057]",46.5891452,-112.0391057
242,Daily Citizen,Searcy,White,AR,"[35.2468204, -91.73368459999999]",35.2468204,-91.73368459999999
243,Courier,Russellville,Pope,AR,"[35.2784173, -93.1337856]",35.2784173,-93.1337856
244,Camden News,Camden,Ouachita,AR,"[39.9259463, -75.1196199]",39.9259463,-75.1196199
245,Blytheville Courier-News,Blytheville,Mississippi,AR,"[35.9272953, -89.9189753]",35.9272953,-89.9189753
246,Saline Courier,Benton,Saline,AR,"[37.7889039, -97.1086498]",37.7889039,-97.1086498
247,Baxter Bulletin,Mountain Home,Baxter,AR,"[43.1329504, -115.6911975]",43.1329504,-115.6911975
248,Batesville Daily Guard,Batesville,Independence,AR,"[39.3000511, -85.222184]",39.3000511,-85.222184
249,Banner-News The,Magnolia,Columbia,AR,"[37.09024, -95.712891]",37.09024,-95.712891
250,Yuma Sun,Yuma,Yuma,AZ,"[32.6926512, -114.6276916]",32.6926512,-114.6276916
251,Navajo Times,Window Rock,Apache,AZ,"[35.680573, -109.0525929]",35.680573,-109.0525929
252,Maricopa Monitor,Maricopa,Maricopa,AZ,"[33.2917968, -112.4291464]",33.2917968,-112.4291464
253,La Estrella de Tucson,Tucson,Pima,AZ,"[32.2226066, -110.9747108]",32.2226066,-110.9747108
254,Marana News,Tucson,Pima,AZ,"[32.2226066, -110.9747108]",32.2226066,-110.9747108
255,Navajo Hopi Observer,Flagstaff,Coconino,AZ,"[35.1982836, -111.651302]",35.1982836,-111.651302
